FID,name,address,city,county,zipcode,owner,spaces,status,Lat,Long
0,Cedar Mill Bible Church Park & Ride,12208 NW Cornell Rd,Portland,Washington,97229,Shared,16,Existing,45.525682527299999,-122.802533134000000
1,SE Fuller Rd Park & Ride,9608 SE Fuller Rd,Portland,Multnomah,97086,TriMet,630,Existing,45.453254005200002,-122.574497982000000
2,SE Powell Blvd Park & Ride,3618 SE 92nd Ave,Portland,Multnomah,97266,TriMet,400,Existing,45.494759980600001,-122.566437968000000
3,The Columba Center,8147 SE Pine St,Portland,Multnomah,97215,Shared,12,Existing,45.520953232300002,-122.579343445000010
4,Milwaukie Park & Ride,9600 SE Main St,Milwaukie,Clackamas,97222,TriMet,329,Existing,45.452052043099997,-122.640143741000000
5,Wilsonville Park & Ride,9699 SW Barber St,Wilsonville,Washington,97070,TriMet,408,Existing,45.310984834000003,-122.776336821000000
6,Tualatin South Park & Ride,18955 SW Boones Ferry Rd,Tualatin,Washington,97062,TriMet,147,Existing,45.383271140100000,-122.764564393000000
7,Tigard TC Park & Ride,8960 SW Commercial St,Tigard,Washington,97223,TriMet,100,Existing,45.429639199199997,-122.769355996000000
8,Hall/Nimbus Park & Ride,8505 SW Cascade Ave,Beaverton,Washington,97008,TriMet,50,Existing,45.457141531799998,-122.786906677999990
9,Bethel Congregational Church Park & Ride,5150 SW Watson Ave,Beaverton,Washington,97005,Shared,50,Existing,45.482987940199997,-122.806264154999990
10,Beaverton Creek Park & Ride,SW 153rd Ave and Millikan Way,Beaverton,Washington,97006,TriMet,417,Existing,45.498689382999999,-122.831185534000000
11,SE Holgate Blvd Park & Ride,9639 SE Holgate Blvd,Portland,Multnomah,97266,TriMet,120,Existing,45.490985494500002,-122.566681002000000
12,Clackamas Town Center Parking Garage,9225 SE Sunnyside Rd,Clackamas,Clackamas,97086,TriMet,750,Existing,45.436103582199998,-122.568510926000000
13,SE Main St Park & Ride,1119 SE 96th Ave,Portland,Multnomah,97216,TriMet,420,Existing,45.514083355200000,-122.564816576000000
14,Hillsboro Intermodal Transit Facility,775 SE Baseline St,Hillsboro,Washington,97123,Shared,85,Existing,45.520344441900001,-122.977999247000000
15,Sunset TC Parking Garage,10470 SW Barnes Rd,Beaverton,Washington,97225,TriMet,627,Existing,45.510599305299998,-122.782247455999990
16,Fair Complex/Hillsboro Airport Park & Ride,601 NE 34th Ave,Hillsboro,Washington,97124,TriMet,396,Existing,45.527633344900003,-122.946483122000000
17,Orenco/NW 231st Ave Park & Ride,967 NE Orenco Station Loop,Hillsboro,Washington,97124,TriMet,125,Existing,45.530690235199998,-122.917722443000000
18,Elmonica/SW 170th Ave Park & Ride,1200 SW 170th Ave,Beaverton,Washington,97006,TriMet,435,Existing,45.510657442400003,-122.851012119000000
19,Millikan Way Park & Ride,SW Millikan Way and 141st/Shannon Pl,Beaverton,Washington,97005,TriMet,400,Existing,45.495782578600000,-122.821615157000000
20,Quatama/NW 205th Ave Park & Ride,325 NW 205th Ave,Hillsboro,Washington,97006,TriMet,310,Existing,45.522704198900001,-122.889097031000010
21,Sherwood Regal Cinemas Park & Ride,15995 SW Tualatin-Sherwood Rd,Sherwood,Washington,97140,Shared,50,Existing,45.369274146199999,-122.840761914000000
22,First Presbyterian Church Park & Ride,1321 Linn Ave at Williams St,Oregon City,Clackamas,97045,Shared,21,Existing,45.337215021299997,-122.604293355000000
