FID,Type,Source,Verified,Name,Prefix,House_Numb,Unit_Type,Unit_Numbe,Street_Nam,Street_Typ,City,State,Zip,Stop_ID,X_Coord,Y_Coord,Lat,Lon
0,Residential Addresses,MAF Fixes, , ,SW,1800, , ,1st,Ave,Portland,OR,97201.000000000000000, ,7644033.701000000400000,679599.112899999950000,45.5101267374999,-122.677184741579
1,Residential Addresses,MAF Fixes, , ,N,4134, , ,Vancouver,Ave,Portland,OR,97217.000000000000000, ,7646985.992999999800000,695516.804099999950000,45.5539855741418,-122.667338011258
2,Residential Addresses,MAF Fixes, , ,SW,1400, , ,5th,Ave,Portland,OR,97201.000000000000000, ,7643403.707000000400000,680907.077099999990000,45.5136661791028,-122.679778989004
3,Residential Addresses,MAF Fixes, , ,SW,1000, , , ,Broadway,Portland,OR,97205.000000000000000, ,7643235.847000000100000,682101.029899999960000,45.5169271956212,-122.680559281529
4,Residential Addresses,MAF Fixes, , ,E,14715, , ,Burnside,St,Portland,OR,97233.000000000000000, ,7686505.463999999700000,683026.329999999960000,45.5225429666983,-122.511893715616
5,Residential Addresses,MAF Fixes, , ,NE,30, , ,147th,Ave,Portland,OR,97230.000000000000000, ,7686522.637000000100000,683172.368000000020000,45.5229445499993,-122.511840920221
6,Residential Addresses,MAF Fixes, , ,SW,1220, , ,3rd,Ave,Portland,OR,97204.000000000000000, ,7644104.404000000100000,681181.073199999980000,45.5144692023076,-122.677075310201
7,Residential Addresses,MAF Fixes, , ,NE,825, , ,Multnomah,St,Portland,OR,97232.000000000000000, ,7649270.383999999600000,687642.832999999980000,45.5325653749314,-122.657602470586
8,Residential Addresses,MAF Fixes, , ,SW,1831, , ,River,Dr,Portland,OR,97201.000000000000000, ,7644989.376000000200000,679063.537999999940000,45.5087289216744,-122.673401968246
9,Residential Addresses,MAF Fixes, , ,SW,5550, , ,Macadam,Ave,Portland,OR,97239.000000000000000, ,7644830.440999999600000,670018.545000000040000,45.4839185162541,-122.673072821132
10,Residential Addresses,MAF Fixes, , ,SW,522, , ,5th,Ave,Portland,OR,97204.000000000000000, ,7644230.716000000000000,683043.215899999950000,45.5195839417181,-122.676778434886
11,Residential Addresses,MAF Fixes, , ,NE,507, , ,47th,Ave,Portland,OR,97213.000000000000000, ,7659918.860000000300000,685235.234900000040000,45.5267367516159,-122.615816374569
12,Residential Addresses,MAF Fixes, , ,NE,17721, , ,Riverside,Pkwy,Portland,OR,97230.000000000000000, ,7694867.961000000100000,694783.667000000020000,45.5553461478077,-122.480400065256
