 ,15980,SHORT,AVE,OREGON CITY,OR,97045
NE,5547,AZORES,CT,HILLSBORO,OR,97124
SE,2313,HUDSON,CT,TROUTDALE,OR,97060
NE,1180,MARKET,DR,FAIRVIEW,OR,97024
 ,3030,EGRET,CT,FAIRVIEW,OR,97024
NW,19545,DECORA,LN,HILLSBORO,OR,97124
SE,17418,RAJESSA,CT,PORTLAND,OR,97236
SE,14296,CARUTHERS,CT,PORTLAND,OR,97233
SW,9907,TIGARD,ST,TIGARD,OR,97223
 ,5100,TUALATA,LN,LAKE OSWEGO,OR,97035
NE,1613,238TH,DR,WOOD VILLAGE,OR,97060
SE,1061,70TH,AVE,HILLSBORO,OR,97123
SE,2103,178TH,PL,GRESHAM,OR,97233
NE,13555,PRESCOTT,CT,PORTLAND,OR,97230
SW,14106,WAGONER,PL,TIGARD,OR,97224
SW,22859,HOSLER,WAY,SHERWOOD,OR,97140
SW,12942,KOSTEL,LN,TIGARD,OR,97224
N,1402,WHEELER,AVE,PORTLAND,OR,97227
SW,7639,CARRIAGE OAKS,LN,WILSONVILLE,OR,97070
 ,4094,WOOD HILL,CT,LAKE OSWEGO,OR,97035
 ,1205,STONEHAVEN,CT,WEST LINN,OR,97068
SE,638,IVON,ST,PORTLAND,OR,97202
NW,1756,7TH,AVE,TROUTDALE,OR,97060
SE,8819,MCLOUGHLIN,BLVD,MILWAUKIE,OR,97222
SE,7284,LINDSAY,LN,HILLSBORO,OR,97123
SW,10230,HILLVIEW,ST,TIGARD,OR,97223
NE,21577,LAUREL WOOD,LN,FAIRVIEW,OR,97024
SW,1189,LAKE SHORE,DR,ESTACADA,OR,97023
SW,16922,MATADOR,LN,KING CITY,OR,97224
NE,1631,56TH,AVE,HILLSBORO,OR,97124
N,195,MASON,ST,PORTLAND,OR,97227
NW,1662,TOWLE,TER,GRESHAM,OR,97030
 ,17421,SCALES,AVE,SANDY,OR,97055
SW,8262,WOODY END, ,DURHAM,OR,97224
 ,1547,DEVON,LN,LAKE OSWEGO,OR,97034
SE,1628,MIMOSA,DR,GRESHAM,OR,97080
 ,101,MILL,ST,GASTON,OR,97119
NW,385,MALIA,LN,HILLSBORO,OR,97124
SW,5453,WESTWOOD VIEW, ,PORTLAND,OR,97239
NW,1218,11TH,AVE,PORTLAND,OR,97209
SW,7059,ALGONKIN,ST,TUALATIN,OR,97062
SW,13674,BEREA,DR,TIGARD,OR,97223
SW,3401,SCHOTTKY,TER,BEAVERTON,OR,97005
SW,16306,ESTUARY,DR,BEAVERTON,OR,97006
SW,14809,KENTON,DR,TIGARD,OR,97224
NE,167,184TH,PL,GRESHAM,OR,97230
NE,6593,PACIFIC,ST,PORTLAND,OR,97213
N,13317,WOODRUSH,WAY,PORTLAND,OR,97203
N,1115,ANCHOR,WAY,PORTLAND,OR,97217
NE,5642,HIDDEN CREEK,DR,HILLSBORO,OR,97124
SW,9544,166TH,AVE,BEAVERTON,OR,97007
SW,7774,KELLY,AVE,PORTLAND,OR,97219
